 	Label	Area	Mean	Min	Max
1	sequence0000.tif	361920	1232.318	985	4095
2	sequence0001.tif	361920	1231.954	990	4095
3	sequence0002.tif	361920	1231.924	992	4095
4	sequence0003.tif	361920	1232.063	984	4095
5	sequence0004.tif	361920	1232.025	997	4095
6	sequence0005.tif	361920	1232.266	989	4095
7	sequence0006.tif	361920	1232.371	976	4095
8	sequence0007.tif	361920	1232.694	955	4095
9	sequence0008.tif	361920	1232.366	979	4095
10	sequence0009.tif	361920	1232.522	988	4095
11	sequence0010.tif	361920	974.851	759	4095
12	sequence0011.tif	361920	975.058	783	4095
13	sequence0012.tif	361920	975.195	784	4095
14	sequence0013.tif	361920	975.135	782	4095
15	sequence0014.tif	361920	975.624	778	4095
16	sequence0015.tif	361920	975.842	776	4095
17	sequence0016.tif	361920	975.727	778	4095
18	sequence0017.tif	361920	975.676	785	4095
19	sequence0018.tif	361920	975.683	774	4095
20	sequence0019.tif	361920	975.479	769	4095
21	sequence0020.tif	361920	509.125	392	2688
22	sequence0021.tif	361920	508.616	394	2669
23	sequence0022.tif	361920	508.18	397	2637
24	sequence0023.tif	361920	508.161	397	2657
25	sequence0024.tif	361920	507.884	383	2675
26	sequence0025.tif	361920	507.529	394	2656
27	sequence0026.tif	361920	507.454	383	2651
28	sequence0027.tif	361920	507.365	396	2653
29	sequence0028.tif	361920	507.273	393	2678
30	sequence0029.tif	361920	507.09	394	2653
31	sequence0030.tif	361920	336.451	242	1742
32	sequence0031.tif	361920	336.19	252	1756
33	sequence0032.tif	361920	336.093	252	1742
34	sequence0033.tif	361920	335.985	244	1761
35	sequence0034.tif	361920	335.894	247	1754
36	sequence0035.tif	361920	335.759	250	1733
37	sequence0036.tif	361920	335.646	247	1751
38	sequence0037.tif	361920	335.582	247	1750
39	sequence0038.tif	361920	335.469	252	1731
40	sequence0039.tif	361920	335.402	250	1707
41	sequence0040.tif	361920	269.449	196	1373
42	sequence0041.tif	361920	268.96	196	1399
43	sequence0042.tif	361920	269.021	197	1402
44	sequence0043.tif	361920	268.976	196	1392
45	sequence0044.tif	361920	269.001	193	1435
46	sequence0045.tif	361920	268.927	194	1368
47	sequence0046.tif	361920	268.856	195	1367
48	sequence0047.tif	361920	268.925	193	1383
49	sequence0048.tif	361920	268.761	188	1357
50	sequence0049.tif	361920	268.71	191	1357
51	sequence0050.tif	361920	268.967	196	1378
52	sequence0051.tif	361920	268.559	197	1381
53	sequence0052.tif	361920	268.098	192	1400
54	sequence0053.tif	361920	268.028	195	1368
55	sequence0054.tif	361920	751.699	579	4065
56	sequence0055.tif	361920	911.165	701	4095
57	sequence0056.tif	361920	976.884	768	4095
58	sequence0057.tif	361920	1018.59	793	4095
59	sequence0058.tif	361920	1046.836	814	4095
60	sequence0059.tif	361920	1067.942	824	4095
61	sequence0060.tif	361920	1084.4	840	4095
62	sequence0061.tif	361920	1098.493	863	4095
63	sequence0062.tif	361920	1109.95	862	4095
64	sequence0063.tif	361920	1119.259	873	4095
65	sequence0064.tif	361920	1126.81	874	4095
66	sequence0065.tif	361920	1133.28	879	4095
67	sequence0066.tif	361920	1138.528	893	4095
68	sequence0067.tif	361920	1143.491	900	4095
69	sequence0068.tif	361920	1148.171	905	4095
70	sequence0069.tif	361920	1152.425	896	4095
71	sequence0070.tif	361920	1156.268	906	4095
72	sequence0071.tif	361920	1160.197	896	4095
73	sequence0072.tif	361920	1162.902	906	4095
74	sequence0073.tif	361920	1165.512	899	4095
75	sequence0074.tif	361920	1168.833	909	4095
76	sequence0075.tif	361920	1171.233	917	4095
77	sequence0076.tif	361920	1173.416	891	4095
78	sequence0077.tif	361920	1175.706	914	4095
79	sequence0078.tif	361920	1177.359	920	4095
80	sequence0079.tif	361920	1179.603	921	4095
81	sequence0080.tif	361920	1181.507	921	4095
82	sequence0081.tif	361920	1183.1	928	4095
83	sequence0082.tif	361920	1184.859	925	4095
84	sequence0083.tif	361920	1186.012	921	4095
85	sequence0084.tif	361920	1187.499	924	4095
86	sequence0085.tif	361920	1188.782	937	4095
87	sequence0086.tif	361920	1189.815	927	4095
88	sequence0087.tif	361920	1190.787	935	4095
89	sequence0088.tif	361920	1191.864	937	4095
90	sequence0089.tif	361920	1192.696	933	4095
91	sequence0090.tif	361920	1192.922	933	4095
92	sequence0091.tif	361920	1193.573	934	4095
93	sequence0092.tif	361920	1194.851	928	4095
94	sequence0093.tif	361920	1195.891	947	4095
95	sequence0094.tif	361920	1196.8	933	4095
96	sequence0095.tif	361920	1197.856	936	4095
97	sequence0096.tif	361920	1198.172	943	4095
98	sequence0097.tif	361920	1198.635	945	4095
99	sequence0098.tif	361920	1199.479	946	4095
100	sequence0099.tif	361920	1200.384	943	4095
101	sequence0100.tif	361920	1201.305	947	4095
102	sequence0101.tif	361920	1202.408	952	4095
103	sequence0102.tif	361920	1203.07	947	4095
104	sequence0103.tif	361920	1204.121	945	4095
105	sequence0104.tif	361920	1205.37	953	4095
106	sequence0105.tif	361920	1206.756	952	4095
107	sequence0106.tif	361920	1207.616	954	4095
108	sequence0107.tif	361920	1209.021	948	4095
109	sequence0108.tif	361920	1209.972	952	4095
110	sequence0109.tif	361920	1210.874	955	4095
111	sequence0110.tif	361920	1211.47	962	4095
112	sequence0111.tif	361920	1212.353	953	4095
113	sequence0112.tif	361920	1213.28	955	4095
114	sequence0113.tif	361920	1214.102	955	4095
115	sequence0114.tif	361920	1214.798	956	4095
116	sequence0115.tif	361920	1215.352	969	4095
117	sequence0116.tif	361920	1216.434	957	4095
118	sequence0117.tif	361920	1217.046	964	4095
